city_id,lag,total_cells,observed_cells,observed_pct,positive_cells,positive_pct,zero_cells,zero_pct,unknown_cells,unknown_pct,share_denominator
194,5,260239,203602,78.23654409984668,85044,32.679191051302844,118558,45.55735304854384,56637,21.76345590015332,all feature cells
194,6,260239,213361,81.98655850967764,86361,33.185264314726076,127000,48.801294194951566,46878,18.013441490322357,all feature cells
194,7,260239,220619,84.77553325981117,87297,33.54493369556446,133322,51.23059956424671,39620,15.224466740188827,all feature cells
194,8,260239,226076,86.87245186155803,88100,33.8534962092538,137976,53.01895565230423,34163,13.12754813844197,all feature cells
194,9,260239,230055,88.40143099228017,88623,34.054465318418835,141432,54.346965673861334,30184,11.598569007719826,all feature cells
194,10,260239,233063,89.5572915665984,89002,34.200100676685665,144061,55.35719088991274,27176,10.442708433401604,all feature cells
194,11,260239,235349,90.43571486210753,89297,34.313458013595195,146052,56.12225684851233,24890,9.564285137892476,all feature cells
194,12,260239,237111,91.1127847862926,89522,34.39991699937365,147589,56.71286778691895,23128,8.8872152137074,all feature cells
194,13,260239,238514,91.65190459539116,89677,34.459477634021034,148837,57.192426961370124,21725,8.34809540460884,all feature cells
194,14,260239,238465,91.63307574959941,89663,34.45409796379482,148802,57.178977785804584,21774,8.366924250400594,all feature cells
194,15,260239,238414,91.61347837948962,89648,34.44833403140959,148766,57.165144348080034,21825,8.386521620510377,all feature cells
194,16,260239,238361,91.59311248506181,89632,34.44218583686534,148729,57.15092664819647,21878,8.406887514938191,all feature cells
194,17,260239,238301,91.57005675552088,89624,34.43911173959322,148677,57.130945015927665,21938,8.429943244479114,all feature cells
194,18,260239,238235,91.54469545302587,89614,34.43526911800306,148621,57.1094263350228,22004,8.455304546974128,all feature cells
194,19,260239,238191,91.52778791802919,89611,34.43411633152602,148580,57.09367158650318,22048,8.472212081970804,all feature cells
194,20,260239,238147,91.51088038303251,89604,34.43142649641291,148543,57.07945388661961,22092,8.48911961696748,all feature cells
194,21,260239,238083,91.48628760485553,89590,34.4260468261867,148493,57.06024077866884,22156,8.513712395144463,all feature cells
194,22,260239,238038,91.46899580769984,89576,34.42066715596048,148462,57.04832865173936,22201,8.531004192300156,all feature cells
194,23,260239,237993,91.45170401054415,89559,34.41413469925722,148434,57.03756931128693,22246,8.548295989455847,all feature cells
194,24,260239,237908,91.41904172702785,89533,34.40414388312282,148375,57.014897843905025,22331,8.580958272972152,all feature cells
194,168,260239,231128,88.81374428890366,87167,33.494979614892465,143961,55.3187646740112,29111,11.186255711096338,all feature cells
438,1,238091,0,0.0,0,0.0,0,0.0,238091,100.0,all feature cells
438,2,238091,87141,36.599871477712306,40868,17.164865534606516,46273,19.435005943105786,150950,63.400128522287694,all feature cells
438,3,238091,118751,49.87630779827881,49271,20.694188356552747,69480,29.182119441726062,119340,50.12369220172119,all feature cells
438,4,238091,136117,57.17015762880579,52501,22.05081250446258,83616,35.11934512434321,101974,42.82984237119421,all feature cells
438,5,238091,147838,62.093065256561566,54186,22.758525101746812,93652,39.33454015481475,90253,37.906934743438434,all feature cells
438,6,238091,156657,65.79711118857915,55297,23.22515340773066,101360,42.5719577808485,81434,34.20288881142084,all feature cells
438,7,238091,163483,68.66408222066353,56038,23.536378947545266,107445,45.127703273118264,74608,31.335917779336473,all feature cells
438,8,238091,168912,70.94430280859,56629,23.784603365939915,112283,47.15969944265008,69179,29.055697191410008,all feature cells
438,9,238091,173200,72.74529486624861,57130,23.995027111482585,116070,48.750267754766035,64891,27.25470513375138,all feature cells
438,10,238091,176530,74.14391976177176,57543,24.168490199125543,118987,49.97542956264621,61561,25.85608023822824,all feature cells
438,11,238091,179122,75.2325791399087,57840,24.293232419537066,121282,50.939346720371624,58969,24.76742086009131,all feature cells
438,12,238091,181165,76.09065441364856,58055,24.38353402690568,123110,51.707120386742886,56926,23.90934558635144,all feature cells
438,13,238091,182815,76.78366674926814,58223,24.454095282896034,124592,52.3295714663721,55276,23.216333250731864,all feature cells
438,14,238091,182769,76.76434640536601,58206,24.446955155801774,124563,52.317391249564245,55322,23.235653594633984,all feature cells
438,15,238091,182725,76.74586607641616,58196,24.442755081040442,124529,52.30311099537572,55366,23.25413392358384,all feature cells
438,16,238091,182681,76.7273857474663,58182,24.43687497637458,124499,52.290510771091725,55410,23.272614252533696,all feature cells
438,17,238091,182635,76.70806540356418,58174,24.433514916565514,124461,52.27455048699867,55456,23.291934596435816,all feature cells
438,18,238091,182586,76.68748503723366,58169,24.43141487918485,124417,52.256070158048814,55505,23.312514962766336,all feature cells
438,19,238091,182537,76.66690467090314,58163,24.42889483432805,124374,52.23800983657509,55554,23.333095329096857,all feature cells
438,20,238091,182486,76.64548428962036,58151,24.423854744614456,124335,52.221629545005904,55605,23.354515710379644,all feature cells
438,21,238091,182435,76.62406390833758,58137,24.417974639948593,124298,52.20608926838898,55656,23.37593609166243,all feature cells
438,22,238091,182383,76.60222351957864,58121,24.411254520330463,124262,52.190968999248184,55708,23.397776480421353,all feature cells
438,23,238091,182332,76.58080313829586,58109,24.406214430616863,124223,52.174588707679,55759,23.419196861704137,all feature cells
438,24,238091,182282,76.5598027644892,58094,24.39991431847487,124188,52.15988844601434,55809,23.44019723551079,all feature cells
438,168,238091,176199,74.00489728717172,55788,23.431377078511996,120411,50.573520208659716,61892,25.995102712828288,all feature cells
467,1,155036,0,0.0,0,0.0,0,0.0,155036,100.0,all feature cells
